Date,Confirmed,Recovered,Deaths
1/22/2020,0,0,0
1/23/2020,0,0,0
1/24/2020,0,0,0
1/25/2020,0,0,0
1/26/2020,0,0,0
1/27/2020,0,0,0
1/28/2020,0,0,0
1/29/2020,0,0,0
1/30/2020,0,0,0
1/31/2020,0,0,0
2/1/2020,0,0,0
2/2/2020,0,0,0
2/3/2020,0,0,0
2/4/2020,0,0,0
2/5/2020,0,0,0
2/6/2020,0,0,0
2/7/2020,0,0,0
2/8/2020,0,0,0
2/9/2020,0,0,0
2/10/2020,0,0,0
2/11/2020,0,0,0
2/12/2020,0,0,0
2/13/2020,0,0,0
2/14/2020,0,0,0
2/15/2020,0,0,0
2/16/2020,0,0,0
2/17/2020,0,0,0
2/18/2020,0,0,0
2/19/2020,0,0,0
2/20/2020,0,0,0
2/21/2020,0,0,0
2/22/2020,0,0,0
2/23/2020,0,0,0
2/24/2020,0,0,0
2/25/2020,0,0,0
2/26/2020,0,0,0
2/27/2020,0,0,0
2/28/2020,0,0,0
2/29/2020,0,0,0
3/1/2020,0,0,0
3/2/2020,0,0,0
3/3/2020,0,0,0
3/4/2020,0,0,0
3/5/2020,0,0,0
3/6/2020,0,0,0
3/7/2020,0,0,0
3/8/2020,3,0,0
3/9/2020,3,0,0
3/10/2020,3,0,0
3/11/2020,3,0,0
3/12/2020,3,0,0
3/13/2020,3,0,0
3/14/2020,3,0,0
3/15/2020,5,0,0
3/16/2020,8,2,0
3/17/2020,10,3,0
3/18/2020,14,3,1
3/19/2020,17,3,1
3/20/2020,20,3,1
3/21/2020,25,3,2
3/22/2020,27,3,2
3/23/2020,33,3,3
3/24/2020,39,5,4
3/25/2020,39,7,5
3/26/2020,44,11,5
3/27/2020,48,11,5
3/28/2020,48,15,5
3/29/2020,48,15,5
3/30/2020,49,19,5
3/31/2020,51,25,5
4/1/2020,54,25,6
4/2/2020,56,25,6
4/3/2020,61,26,6
4/4/2020,70,30,8
4/5/2020,88,33,9
4/6/2020,123,33,12
4/7/2020,164,33,17
4/8/2020,218,33,20
4/9/2020,330,33,21
4/10/2020,424,33,27
4/11/2020,482,36,30
4/12/2020,621,39,34
4/13/2020,803,42,39
4/14/2020,1012,42,46
4/15/2020,1231,49,50
4/16/2020,1572,49,60
4/17/2020,1838,58,75
4/18/2020,2144,66,84
4/19/2020,2456,75,91
4/20/2020,2948,85,101
4/21/2020,3382,87,110
4/22/2020,3772,92,120
4/23/2020,4186,108,127
4/24/2020,4689,112,131
4/25/2020,4998,113,140
4/26/2020,5416,122,145
4/27/2020,5913,131,152
4/28/2020,6462,139,155
4/29/2020,7103,150,163
4/30/2020,7667,160,168
5/1/2020,8238,174,170
5/2/2020,8790,177,175
5/3/2020,9455,1063,177
5/4/2020,10143,1209,182
5/5/2020,10929,1403,183
5/6/2020,11719,1403,186
5/7/2020,12425,1910,199
5/8/2020,13134,2101,206
5/9/2020,13770,2414,214
5/10/2020,14657,2650,228
5/11/2020,15691,2902,239
5/12/2020,16660,3147,250
5/13/2020,17822,3361,269
5/14/2020,18863,3361,283
5/15/2020,20065,3882,298
5/16/2020,20995,4117,314
5/17/2020,22268,4373,328
5/18/2020,23870,4585,349
5/19/2020,25121,4993,370
5/20/2020,26738,5207,386
5/21/2020,28511,5602,408
5/22/2020,30205,6190,432
5/23/2020,32078,6486,452
5/24/2020,33610,6901,480
5/25/2020,35585,7334,501
5/26/2020,36751,7579,522
5/27/2020,38292,7925,544
5/28/2020,40321,8425,559
5/29/2020,42844,9015,582
5/30/2020,44608,9375,610
5/31/2020,47153,9781,650
6/1/2020,49534,10597,672
6/2/2020,52445,11120,709
6/3/2020,55140,11590,746
6/4/2020,57563,12161,781
6/5/2020,60391,12804,811
6/6/2020,63026,13325,846
6/7/2020,65769,13903,888
6/8/2020,68504,14560,930
6/9/2020,71675,15337,975
6/10/2020,74865,15900,1012
6/11/2020,78052,16747,1049
6/12/2020,81523,17249,1095
6/13/2020,84379,17828,1139
6/14/2020,87520,18730,1171
6/15/2020,90619,18731,1209
6/16/2020,94481,36264,1262
6/17/2020,98489,38189,1305
6/18/2020,102292,40164,1343
6/19/2020,105535,42945,1388
6/20/2020,108775,43993,1425
6/21/2020,112306,45077,1464
6/22/2020,115786,46755,1502
6/23/2020,119198,47635,1545
6/24/2020,122660,49666,1582
6/25/2020,126606,51495,1621
6/26/2020,130474,53133,1661
6/27/2020,133978,54318,1695
6/28/2020,137787,55727,1738
6/29/2020,141801,57780,1783
6/30/2020,145483,59624,1847
7/1/2020,149258,62108,1888
7/2/2020,153277,66442,1926
7/3/2020,156391,68048,1968
7/4/2020,159679,70721,1997
7/5/2020,162417,72625,2052
7/6/2020,165618,76149,2096
7/7/2020,168645,78102,2151
7/8/2020,172134,80838,2197
7/9/2020,175494,84544,2238
7/10/2020,178443,86406,2275
7/11/2020,181129,88034,2305
7/12/2020,183795,93614,2352
7/13/2020,186894,98317,2391
7/14/2020,190057,103227,2424
7/15/2020,193590,105523,2457
7/16/2020,196323,106963,2496
7/17/2020,199357,108725,2547
7/18/2020,202066,110098,2581
7/19/2020,204525,111642,2618
7/20/2020,207453,113556,2668
7/21/2020,210510,115397,2709
7/22/2020,213254,117202,2751
7/23/2020,216110,119208,2801
7/24/2020,218658,120976,2836
7/25/2020,221178,122090,2874
7/26/2020,223453,123882,2928
7/27/2020,226225,125683,2965
7/28/2020,229185,127414,3000
7/29/2020,232194,130292,3035
7/30/2020,234889,132960,3083
7/31/2020,237661,135136,3111
8/1/2020,239860,136253,3132
8/2/2020,240746,136839,3154
8/3/2020,242102,137905,3184
8/4/2020,244020,139860,3234
8/5/2020,246674,141750,3267
8/6/2020,249651,143824,3306
8/7/2020,252502,145584,3333
8/8/2020,255113,146604,3365
8/9/2020,257600,148370,3399
8/10/2020,260507,150437,3438
8/11/2020,263503,151972,3471
8/12/2020,266498,153089,3513
8/13/2020,269115,154871,3557
8/14/2020,271881,156623,3591
8/15/2020,274525,157635,3625
8/16/2020,276549,158950,3657
8/17/2020,279144,160591,3694
8/18/2020,282344,162825,3740
8/19/2020,285091,165738,3781
8/20/2020,287959,168991,3822
8/21/2020,290360,172615,3861
8/22/2020,292625,175567,3907
8/23/2020,294598,179091,3941
8/24/2020,297083,182875,3983
8/25/2020,299628,186756,4028
8/26/2020,302147,190183,4082
8/27/2020,304583,193458,4127
8/28/2020,306794,196836,4174
8/29/2020,308925,198863,4206
8/30/2020,310822,201907,4248
8/31/2020,312996,204887,4281
9/1/2020,314946,208177,4316
9/2/2020,317528,211016,4351
9/3/2020,319686,213980,4383
9/4/2020,321615,216191,4412
9/5/2020,323565,217852,4447
9/6/2020,325157,221275,4479
9/7/2020,327359,224573,4516
9/8/2020,329251,227809,4552
9/9/2020,331078,230804,4593
9/10/2020,332970,233550,4634
9/11/2020,334762,236024,4668
9/12/2020,336044,238271,4702
9/13/2020,337520,240643,4733
9/14/2020,339332,243155,4759
9/15/2020,341056,245594,4802
9/16/2020,342671,247969,4823
9/17/2020,344264,250412,4859
9/18/2020,345805,252335,4881
9/19/2020,347372,254386,4913
9/20/2020,348918,256565,4939
9/21/2020,350621,258717,4979
9/22/2020,352178,260790,5007
9/23/2020,353844,262953,5044
9/24/2020,355384,265092,5072
9/25/2020,356767,267024,5093
9/26/2020,357873,268777,5129
9/27/2020,359148,270491,5161
9/28/2020,360555,272073,5193
9/29/2020,362043,273698,5219
9/30/2020,363479,275487,5251
10/1/2020,364987,277078,5272
10/2/2020,366383,278627,5305
10/3/2020,367565,280069,5325
10/4/2020,368690,281656,5348
10/5/2020,370132,283182,5375
10/6/2020,371631,284833,5405
10/7/2020,373151,286631,5440
10/8/2020,374592,288316,5460
10/9/2020,375870,289912,5477
10/10/2020,377073,291365,5500
10/11/2020,378266,292860,5524
10/12/2020,379738,294391,5555
10/13/2020,381275,295873,5577
10/14/2020,382959,297449,5593
10/15/2020,384559,299229,5608
10/16/2020,386086,300738,5623
10/17/2020,387295,302298,5646
10/18/2020,388569,303972,5660
10/19/2020,390206,305599,5681
10/20/2020,391586,307141,5699
10/21/2020,393131,308845,5723
10/22/2020,394827,310532,5747
10/23/2020,396413,312065,5761
10/24/2020,397507,313563,5780
10/25/2020,398815,315107,5803
10/26/2020,400251,316600,5818
10/27/2020,401586,318123,5838
10/28/2020,403079,319733,5861
10/29/2020,404760,321281,5886
10/30/2020,406364,322703,5905
10/31/2020,407684,324145,5923
11/1/2020,409252,325940,5941
11/2/2020,410988,327901,5966
11/3/2020,412647,329787,5983
11/4/2020,414164,331697,6004
11/5/2020,416006,333588,6021
11/6/2020,417475,335027,6036
11/7/2020,418764,336568,6049
11/8/2020,420238,338145,6067
11/9/2020,421921,339768,6092
11/10/2020,423620,341416,6108
11/11/2020,425353,343131,6127
11/12/2020,427198,344868,6140
11/13/2020,428965,346387,6159
11/14/2020,430496,347849,6173
11/15/2020,432333,349542,6194
11/16/2020,434472,351146,6215
11/17/2020,436684,352895,6254
11/18/2020,438795,354788,6275
11/19/2020,441159,356722,6305
11/20/2020,443434,358431,6322
11/21/2020,445281,360352,6350
11/22/2020,447341,362428,6388
11/23/2020,449760,364611,6416
11/24/2020,451990,366877,6448
11/25/2020,454146,369179,6487
11/26/2020,456438,371453,6524
11/27/2020,458711,373676,6544
11/28/2020,460619,375885,6580
11/29/2020,462407,378172,6609
11/30/2020,464932,380711,6644
12/1/2020,467225,383224,6675
12/2/2020,469423,385786,6713
12/3/2020,471739,388379,6748
12/4/2020,473991,390951,6772
12/5/2020,475789,393408,6807
12/6/2020,477545,395960,6838
12/7/2020,479743,398623,6874
12/8/2020,481945,401194,6906
12/9/2020,484104,405966,6930
12/10/2020,485965,410452,6967
12/11/2020,487849,414318,6986
12/12/2020,489178,417503,7020
12/13/2020,490533,420896,7052
12/14/2020,492332,423845,7089
12/15/2020,494209,426729,7129
12/16/2020,495841,429351,7156
12/17/2020,496975,431590,7192
12/18/2020,498293,433614,7217
12/19/2020,499560,435601,7242
12/20/2020,500713,437527,7280
12/21/2020,502183,439694,7312
12/22/2020,503501,441929,7329
12/23/2020,504868,444345,7359
12/24/2020,506102,446690,7378
12/25/2020,507265,448803,7398
12/26/2020,508099,450488,7428
12/27/2020,509148,451961,7452
12/28/2020,510080,453318,7479
12/29/2020,511261,454563,7509
12/30/2020,512496,456070,7531
12/31/2020,513510,457459,7559
1/1/2021,514500,458656,7576
1/2/2021,515184,459620,7599
1/3/2021,516019,460598,7626
1/4/2021,516929,461515,7650
1/5/2021,517920,462459,7670
1/6/2021,518898,463480,7687
1/7/2021,519905,464446,7718
1/8/2021,520690,465279,7734
1/9/2021,521382,466064,7756
1/10/2021,522453,466801,7781
1/11/2021,523302,467718,7803
1/12/2021,524020,468681,7819
1/13/2021,524910,469522,7833
1/14/2021,525723,470405,7849
1/15/2021,526485,471123,7862
1/16/2021,527063,471756,7883
1/17/2021,527632,472437,7906
1/18/2021,528329,473173,7922
1/19/2021,529031,473855,7942
1/20/2021,529687,474472,7950
1/21/2021,530271,475074,7966
1/22/2021,530890,475561,7981
1/23/2021,531326,475899,8003
1/24/2021,531799,476413,8023
1/25/2021,532401,476979,8041
1/26/2021,532916,477426,8055
1/27/2021,533444,477935,8072
1/28/2021,533953,478546,8087
1/29/2021,534407,478960,8094
1/30/2021,534770,479297,8111
1/31/2021,535139,479744,8127
2/1/2021,535582,480216,8137
2/2/2021,536107,480728,8149
2/3/2021,536545,481306,8162
2/4/2021,537030,481917,8175
2/5/2021,537465,482424,8182
2/6/2021,537770,482841,8190
2/7/2021,538062,483372,8205
2/8/2021,538378,483931,8221
2/9/2021,538765,484573,8229
2/10/2021,539153,485290,8239
2/11/2021,539531,485971,8248
2/12/2021,539975,486393,8253
2/13/2021,540266,486767,8266
2/14/2021,540592,487229,8274
2/15/2021,541038,487870,8285
2/16/2021,541434,488621,8298
2/17/2021,541877,489254,8314
2/18/2021,542268,489932,8329
2/19/2021,542674,490468,8337
